Number of instrumented instructions;Number of covered binaries;Binaries;Instrumented instructions
113;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts']
114;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi']
115;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild']
116;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp']
117;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw']
118;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul']
119;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul', 'fmulp']
120;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul', 'fmulp', 'fnstcw']
121;80;['ginstall', 'mv', 'stat', 'cp', 'chown', 'chcon', 'chroot', 'chmod', 'ln', 'rm', 'chgrp', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul', 'fmulp', 'fnstcw', 'mulsd']
122;85;['ginstall', 'mv', 'stat', 'cp', 'expr', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul', 'fmulp', 'fnstcw', 'mulsd', 'psllq']
123;94;['cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'ginstall', 'mv', 'stat', 'cp', 'expr', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul', 'fmulp', 'fnstcw', 'mulsd', 'psllq', 'sets']
124;95;['cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'ginstall', 'mv', 'stat', 'cp', 'expr', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'cut', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true'];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv', 'neg', 'sar', 'setbe', 'jo', 'movsd', 'cdqe', 'jl', 'adc', 'movd', 'jno', 'dec', 'inc', 'stosb', 'xorps', 'stosd', 'jb', 'movsb', 'sbb', 'div', 'mul', 'not', 'seta', 'setg', 'cmova', 'cmovae', 'cmovb', 'cmovbe', 'cmovs', 'ror', 'bt', 'btc', 'seto', 'rol', 'cmovns', 'cmovle', 'setl', 'setb', 'cmovl', 'cdq', 'cmovge', 'fld', 'fstp', 'movq', 'setle', 'cvtsi2sd', 'bswap', 'movss', 'comiss', 'setge', 'addss', 'cvtsi2ss', 'cvttss2si', 'divss', 'mulss', 'subss', 'pcmpeqd', 'divsd', 'setae', 'movdqa', 'nop', 'xchg', 'movdqu', 'pxor', 'stosq', 'endbr64', 'fxch', 'bsf', 'comisd', 'cwde', 'fcomip', 'fucomip', 'movsq', 'ud2', 'bts', 'fcomi', 'fild', 'fistp', 'fldcw', 'fmul', 'fmulp', 'fnstcw', 'mulsd', 'psllq', 'sets', 'cvttsd2si']
